Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מערכות ביוטכנולוגיה,5,28,78.11,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מערכות ביוטכנולוגיה,5,21,76.24,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מערכות פקוד ובקרה,3,14,74.43,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מערכות פקוד ובקרה,3,13,67.23,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מערכות פקוד ובקרה,3,14,74.79,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מתמטיקה,3,124,74.23,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מתמטיקה,4,50,75.94,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,מתמטיקה,5,17,65.35,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מתמטיקה,3,95,70.87,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מתמטיקה,4,50,76.78,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,מתמטיקה,5,27,74.67,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מתמטיקה,3,125,73.11,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מתמטיקה,4,54,75.72,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,מתמטיקה,5,24,72.38,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,ניהול משאבי אנוש,3,25,89.64,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,ניהול משאבי אנוש,3,23,84.78,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,ניהול משאבי אנוש,3,27,78.56,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,3,100,63.52,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,5,92,83.76,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,3,95,68.78,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,5,77,87.74,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,3,123,66.43,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,5,80,86.16,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,ערבית לדרוזים,5,191,76.97,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,ערבית לדרוזים,5,168,79.05,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,ערבית לדרוזים,3,111,70.79,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,ערבית לדרוזים,5,92,86.35,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,פיסיקה,5,39,80.77,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,פיסיקה,5,41,85.05,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,פיסיקה,5,44,81.59,248179
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,אזרחות,2,240,76.56,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,אזרחות,2,197,77.78,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,אזרחות,2,230,79.05,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,אלקטרוניקה ומחשבים,5,30,92.23,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,אלקטרוניקה ומחשבים,5,21,95.57,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,אלקטרוניקה ומחשבים,5,12,95.92,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,אנגלית,3,101,68.35,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,אנגלית,4,78,75.91,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,אנגלית,5,57,87.98,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,אנגלית,3,65,68.2,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,אנגלית,4,68,72.74,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,אנגלית,5,59,87.66,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,אנגלית,3,72,63.89,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,אנגלית,4,75,72.07,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,אנגלית,5,65,88.46,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,ביולוגיה,5,47,71.89,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,ביולוגיה,5,42,71.02,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,ביולוגיה,5,50,74.68,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,הסטוריה - בי'ס ערבי,2,229,82.75,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,הסטוריה - בי'ס ערבי,2,188,88.63,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,הסטוריה - בי'ס ערבי,5,11,76.55,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,הסטוריה - בי'ס ערבי,2,218,85.77,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,הסטוריה - בי'ס ערבי,5,12,69.92,248625
