Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,"מחשבת ישראל לבי""ס כל",5,22,76.32,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,"מחשבת ישראל לבי""ס כל",5,14,75.71,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,"מחשבת ישראל לבי""ס כל",5,24,74.71,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,מכניקה הנדסית,5,15,74.13,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,מכניקה הנדסית,5,11,72.82,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,מערכות אלקטרוניות,3,12,88.25,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,מערכות אלקטרוניות,3,21,92,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,"מערכות תיב""מ",3,13,65.08,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,מערכות תקשוב,5,12,52.5,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,מתמטיקה,3,52,76.44,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,מתמטיקה,3,47,76.02,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,מתמטיקה,4,11,74.18,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,מתמטיקה,3,29,78.48,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,מתמטיקה,4,11,75.55,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,ספרות,2,71,71.17,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,ספרות,2,71,76.99,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,ספרות,2,53,82.17,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,עברית )לשון והבעה(,2,73,72.49,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,עברית )לשון והבעה(,2,70,78.6,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,עברית )לשון והבעה(,2,52,72.08,770776
east,אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2021,עצוב,5,15,80.73,770776
